file,species
0021e90e4.png,Shepherds Purse
003d61042.png,Loose Silky-bent
007b3da8b.png,Sugar beet
0086a6340.png,Sugar beet
00c47e980.png,Small-flowered Cranesbill
00d090cde.png,Loose Silky-bent
00ef713a8.png,Sugar beet
01291174f.png,Loose Silky-bent
026716f9b.png,Common wheat
02cfeb38d.png,Cleavers
03566743d.png,Shepherds Purse
03a2ee656.png,Cleavers
03e322a29.png,Shepherds Purse
03ef36742.png,Loose Silky-bent
043449b0b.png,Sugar beet
0437393b1.png,Sugar beet
04814f36d.png,Fat Hen
05341a8a6.png,Loose Silky-bent
060450d79.png,Small-flowered Cranesbill
060f1dc84.png,Cleavers
0625f063b.png,Shepherds Purse
063363305.png,Shepherds Purse
06d12f6fa.png,Small-flowered Cranesbill
071cb3ece.png,Common wheat
0751c0bbc.png,Common wheat
07e62f903.png,Shepherds Purse
085974290.png,Shepherds Purse
0885e7690.png,Fat Hen
089ad62a7.png,Common wheat
08d591441.png,Sugar beet
0911d3dee.png,Loose Silky-bent
099b961ec.png,Small-flowered Cranesbill
0a64e3e6c.png,Loose Silky-bent
0ad9e7dfb.png,Shepherds Purse
0ae6668fa.png,Loose Silky-bent
0bf7bfb05.png,Sugar beet
0c27cf05f.png,Shepherds Purse
0c4199daa.png,Sugar beet
0c45ace27.png,Shepherds Purse
0c51bf229.png,Shepherds Purse
0c5f6c493.png,Small-flowered Cranesbill
0caeda5df.png,Cleavers
0d117d910.png,Cleavers
0d31e6602.png,Shepherds Purse
0dba99002.png,Sugar beet
0e8492cb1.png,Sugar beet
0ebf8f2f4.png,Maize
0ee4ad224.png,Shepherds Purse
0f6cbe5e8.png,Shepherds Purse
0fb233ad6.png,Shepherds Purse
115f93ecc.png,Cleavers
116b136de.png,Loose Silky-bent
1191ba346.png,Cleavers
11d3f68ff.png,Loose Silky-bent
122913909.png,Maize
12625488b.png,Sugar beet
126a71ce0.png,Shepherds Purse
1312065a5.png,Small-flowered Cranesbill
1364b297a.png,Common wheat
1376f3b63.png,Cleavers
13b9fa92d.png,Common wheat
1459e96a0.png,Cleavers
148bbda66.png,Shepherds Purse
14bb43eee.png,Common wheat
1541bdb2e.png,Shepherds Purse
1623fb9e1.png,Sugar beet
16357b436.png,Shepherds Purse
16467a950.png,Cleavers
165681fd9.png,Cleavers
1694a70e4.png,Shepherds Purse
16fd2e01a.png,Charlock
172f9b10b.png,Small-flowered Cranesbill
17529c555.png,Fat Hen
1758a1baf.png,Common wheat
177d7e2a4.png,Sugar beet
17a78fb44.png,Common wheat
17d5e5ac4.png,Loose Silky-bent
1821eb11a.png,Small-flowered Cranesbill
187668bde.png,Cleavers
1926e82fd.png,Common wheat
19618ad6a.png,Sugar beet
19b51843a.png,Shepherds Purse
19e58cc5e.png,Sugar beet
19fdf19fb.png,Common wheat
1b490196c.png,Small-flowered Cranesbill
1b6a6494d.png,Cleavers
1be0713da.png,Common wheat
1bf9b94a6.png,Cleavers
1c52ea820.png,Loose Silky-bent
1c680883c.png,Cleavers
1cfd91582.png,Black-grass
1d0cbd819.png,Sugar beet
1d321253f.png,Loose Silky-bent
1d48b7564.png,Fat Hen
1d56351b2.png,Shepherds Purse
1dc7c45df.png,Cleavers
1e095a7e1.png,Common wheat
1f290e016.png,Shepherds Purse
1f3f44563.png,Shepherds Purse
1f5e5554e.png,Cleavers
1fefb54b7.png,Loose Silky-bent
205df1df3.png,Sugar beet
20817c846.png,Fat Hen
20e562fd5.png,Sugar beet
20ea96bcc.png,Cleavers
20f983a71.png,Cleavers
2126dc71b.png,Shepherds Purse
219fd68d5.png,Small-flowered Cranesbill
223e4af09.png,Loose Silky-bent
22e79540f.png,Fat Hen
22fbf13d6.png,Cleavers
239bdf640.png,Common wheat
23bc8ec4f.png,Shepherds Purse
23e480e64.png,Shepherds Purse
2406d6c99.png,Small-flowered Cranesbill
241e6935a.png,Loose Silky-bent
248436078.png,Common wheat
24a058589.png,Cleavers
24c94a6ca.png,Small-flowered Cranesbill
24d36c52c.png,Small-flowered Cranesbill
24d78df74.png,Sugar beet
24dbc3b21.png,Loose Silky-bent
258b1183c.png,Cleavers
25a4c427e.png,Loose Silky-bent
25cf6eb73.png,Common wheat
25fa8d109.png,Common wheat
26852751a.png,Shepherds Purse
2693e5c65.png,Shepherds Purse
26e7ae885.png,Fat Hen
270b939cf.png,Loose Silky-bent
279df95f2.png,Sugar beet
288564c76.png,Sugar beet
29bab7cad.png,Shepherds Purse
29ce426a1.png,Fat Hen
29f49cd0b.png,Sugar beet
2a5064f19.png,Common wheat
2a667e099.png,Shepherds Purse
2b55a2da2.png,Shepherds Purse
2bd74d2da.png,Fat Hen
2d5058a59.png,Sugar beet
2d992d1fb.png,Loose Silky-bent
2d9c798f9.png,Shepherds Purse
2dd5cfba9.png,Small-flowered Cranesbill
2df78338c.png,Shepherds Purse
2e86f1085.png,Cleavers
2ea664465.png,Common wheat
2f0004a7f.png,Common wheat
2f246d688.png,Shepherds Purse
2ff5cb348.png,Common wheat
30ad31220.png,Shepherds Purse
3185294c8.png,Shepherds Purse
31f3dd81f.png,Loose Silky-bent
31fcdc161.png,Shepherds Purse
3281183f9.png,Loose Silky-bent
32a8c8a1d.png,Cleavers
32b42c120.png,Small-flowered Cranesbill
32c86784b.png,Shepherds Purse
33317fc2a.png,Sugar beet
33448fe39.png,Loose Silky-bent
33748968f.png,Cleavers
338c7e907.png,Shepherds Purse
34dd57ca9.png,Sugar beet
3526b05cc.png,Fat Hen
